name,pos,club
Harry Van der Saag,DEF,Adelaide United
Richard van der Venne,MID,Melbourne City
Oskar van Hattum,FWD,Wellington Phoenix
Nishan Velupillay,FWD,Melbourne Victory
Adrian Vlastelica,DEF,Sydney FC
Ivan Vujica,DEF,Macarthur FC
Danny Vukovic,GK,Central Coast Mariners
Ben Waine,FWD,Wellington Phoenix
Lachlan Wales,MID,Western United
Ben Warland,DEF,Adelaide United
Jack Warshawsky,GK,Western Sydney Wanderers
Jesper Webber,MID,Macarthur FC
Michael Weier,GK,Newcastle Jets
Dylan Wenzel-Halls,FWD,Western United
Alex Wilkinson,DEF,Sydney FC
David Williams,FWD,Perth Glory
Mario Williams,UTL,Macarthur FC
Rhys Williams,DEF,Western Sydney Wanderers
Ryan Williams,MID,Perth Glory
Daniel Wilmering,DEF,Western Sydney Wanderers
Brandon Wilson,MID,Newcastle Jets
William Wilson,MID,Melbourne Victory
Cameron Windust,DEF,Central Coast Mariners
Patrick Wood,FWD,Sydney FC
Scott Wootton,DEF,Wellington Phoenix
Patrick Yazbek,MID,Sydney FC
Kusini Yengi,FWD,Western Sydney Wanderers
Rhys Youlley,MID,Macarthur FC
Jacob Young,DEF,Perth Glory
Jamie Young,GK,Western United
Jonny Yull,MID,Adelaide United
Louis Zabala,MID,Brisbane Roar
Oskar Zawada,FWD,Wellington Phoenix
Adam Zimarino,MID,Perth Glory
